%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
4.4346531  -0.7981210  1369618000   0.12969857   0.53603518
4.4346531  -0.7981210  1369632400  -0.28836024   0.04575226
4.4346531  -0.7981210  1369646800   0.29239523   0.26680753
4.4346531  -0.7981210  1369661200  -0.54999596   0.46055409
4.4346531  -0.7981210  1369675600  -0.56977928  -0.80906928
4.4346531  -0.7981210  1369690000   0.67819524  -0.49598104
4.4346531  -0.7981210  1369704400   0.11108916   0.53883022
4.4346531  -0.7981210  1369718800  -0.27964973   0.03701884
4.4346531  -0.7981210  1369733200   0.29170626   0.27971202
4.4346531  -0.7981210  1369747600  -0.56751007   0.44695765
4.4346531  -0.7981210  1369762000  -0.55035168  -0.82437438
