%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta        A_H1         B_H1         C_H1         D_H1
1.9850165  0.7327846   0.20384794   0.24752679  -0.00158993   0.05045530
1.6853417  0.7387905   0.20378305   0.24979043  -0.00173943   0.05090003
1.6867534  -0.2830051   0.10087037   0.22326228  -0.00319830   0.02251032
3.7985814  -0.8711553   0.23021889   0.25095445  -0.00018727   0.05777442
1.6599259  0.7166537   0.19911404   0.24894652  -0.00163030   0.04956609
1.4858717  0.0462413   0.07846177   0.22347847  -0.00200984   0.01753048
5.2632464  -0.3476697   0.11766686   0.23337778   0.00212743   0.02745631
2.0363193  1.4873982   0.26878390   0.26361576  -0.00175984   0.07085257
0.5360721  0.7099742   0.19914100   0.24472384  -0.00087502   0.04873378
5.9591384  -0.3687762   0.11959969   0.23573004   0.00184040   0.02818985
6.1443507  -0.0898219   0.08075349   0.23050223   0.00257813   0.01860721
6.2012111  -0.9013715   0.22630560   0.25381252   0.00128687   0.05743754
3.1538350  -0.5418597   0.15561670   0.23998401   0.00086206   0.03734478
3.7115811  0.3593687   0.11891640   0.22859098  -0.00262806   0.02717631
0.0637095  -0.6126937   0.17216182   0.24170260   0.00303704   0.04160274
4.1112137  0.1450198   0.08597205   0.22266142  -0.00024321   0.01914260
2.4543856  -0.5149089   0.14652938   0.23535931  -0.00384642   0.03447226
3.8636306  -0.6601471   0.18895683   0.24335620  -0.00038554   0.04598367
1.1144842  1.1367382   0.25720185   0.26418918   0.00265248   0.06794291
2.8275893  -0.3858447   0.11949395   0.23492308  -0.00198307   0.02806795
1.3284950  -1.1821133   0.25157407   0.25686190  -0.00084323   0.06461908
6.0220180  -0.3676237   0.11920392   0.23565128   0.00204364   0.02808638
0.5439090  0.1748070   0.09092019   0.22847168   0.00068956   0.02077221
6.1750366  -0.5961881   0.16849130   0.24244493   0.00202977   0.04084574
3.0481005  -0.7524950   0.19973741   0.24777353   0.00115674   0.04948831
2.7308967  -1.0299674   0.24016042   0.25640744  -0.00158274   0.06157641
4.4880776  0.5869522   0.16383159   0.22997583   0.00159605   0.03767476
1.9054545  -0.2430363   0.09480131   0.22447981  -0.00387388   0.02126597
3.2490915  -0.0824079   0.08096685   0.22964337  -0.00164687   0.01859079
4.3407271  1.0599414   0.24320623   0.25106439   0.00140113   0.06105846
2.7946567  0.0431899   0.07824142   0.23028751  -0.00272688   0.01801059
5.4166118  0.2902344   0.10196511   0.22864275   0.00428578   0.02329521
5.3382644  0.8553932   0.21729121   0.24351555   0.00284395   0.05290570
3.2122858  0.6472800   0.17965588   0.24286786  -0.00302732   0.04362347
0.1752134  -1.1300850   0.25142401   0.25871399   0.00293311   0.06503831
1.2704935  -0.1991175   0.09007330   0.22157644  -0.00135263   0.01995629
3.3989323  0.2192503   0.09496360   0.22965933  -0.00294604   0.02180060
2.9640454  -0.2266692   0.09309244   0.23190951  -0.00178895   0.02158582
1.9366198  0.1816279   0.08990877   0.22823179  -0.00287562   0.02051177
3.1358894  -0.6168678   0.17222734   0.24263743   0.00117268   0.04178742
0.3806528  -0.1908003   0.09173856   0.22817948   0.00267253   0.02092571
3.6985536  0.3085449   0.10951550   0.22784008  -0.00256335   0.02494545
1.3754408  -0.3808839   0.11935429   0.22390068  -0.00189428   0.02671992
1.7213878  -0.5421011   0.15304719   0.22924107  -0.00277501   0.03507700
0.8223798  1.1871316   0.26270005   0.26154664   0.00232275   0.06870292
1.9692706  0.8263717   0.22188705   0.25121540  -0.00168973   0.05573859
1.0651385  0.7838774   0.21334672   0.25103143   0.00176171   0.05355363
1.7420036  0.2730135   0.10306732   0.23020557  -0.00231671   0.02372130
3.2698609  0.7249241   0.19586769   0.24506725  -0.00321762   0.04799040
2.3095870  -0.7606649   0.19975029   0.24141012  -0.00350457   0.04820946
0.8481030  0.0156190   0.08019918   0.22432937   0.00062980   0.01799064
4.6006356  0.1008071   0.08034089   0.22166814   0.00215953   0.01780435
2.1427450  1.1758911   0.26252344   0.26023379  -0.00055359   0.06831716
2.3475831  0.1287011   0.08424922   0.22942916  -0.00293461   0.01932062
0.6619019  0.5310326   0.15918355   0.23831743   0.00001054   0.03793621
5.8402748  -0.3940060   0.12522507   0.23633906   0.00141030   0.02959359
1.8163289  1.1828859   0.26100722   0.26366198  -0.00287190   0.06880943
5.0350342  -0.1375402   0.08493660   0.22701718   0.00298270   0.01927317
4.1639776  0.0919268   0.08174765   0.22245070   0.00002893   0.01818482
5.0532057  1.3063945   0.26073819   0.25867543  -0.00162955   0.06744391
0.4909355  -0.9980652   0.24079029   0.24992335   0.00263756   0.06017216
4.2707175  -0.7973373   0.21546297   0.25216585  -0.00165026   0.05432968
2.4041553  1.5068775   0.26791114   0.26392135   0.00235899   0.07070190
2.8044593  0.7857720   0.20875433   0.25009280   0.00046687   0.05220774
0.8557887  0.5935390   0.17362854   0.24135466   0.00087234   0.04190530
2.9721648  -0.5325470   0.15171088   0.23968174  -0.00036026   0.03636220
